tags,configurationItemVersion,configurationItemCaptureTime,configurationItemCaptureDate,configurationStateId,awsAccountId,configurationItemStatus,resourceType,resourceId,awsRegion
{},1.3,2024-05-20T18:32:21.344Z,2024-05-20,1716229941344,076395046979,OK,AWS::S3::Bucket,aws-costs-gov,us-east-1
{},1.3,2024-05-20T18:04:17.714Z,2024-05-20,1716228257714,076395046979,OK,AWS::S3::Bucket,mmi-transfer-test-sai-manaswini,us-east-1
{},1.3,2024-05-20T17:59:53.994Z,2024-05-20,1716227993994,076395046979,OK,AWS::S3::Bucket,mmi-desti-sai,us-east-1
"{'Environment': 'sandbox', 'Name': 'vpc-aspera-sandbox'}",1.3,2024-05-20T15:41:50.182Z,2024-05-20,1716219710182,076395046979,OK,AWS::EC2::VPC,vpc-0175d51e695c62cfd,us-east-1
{},1.3,2024-05-20T15:41:50.010Z,2024-05-20,1716219710010,076395046979,OK,AWS::EC2::SecurityGroup,sg-093ce1b7d20e60c5b,us-east-1
"{'app': 'map-276-rps', 'Environment': 'sandbox', 'Name': 'vpc-aspera-sandbox_public-2-b'}",1.3,2024-05-20T15:41:49.282Z,2024-05-20,1716219709282,076395046979,OK,AWS::EC2::Subnet,subnet-071078ff88d35e5de,us-east-1
"{'LastAttachTime': '2024-05-20T14:01:34+00:00', 'LastAttachInstance': 'i-0fb1f509f61179fff', 'Name': 'grafana'}",1.3,2024-05-20T14:18:47.325Z,2024-05-20,1716214727325,076395046979,OK,AWS::EC2::Volume,vol-0eb2de481997187b8,us-east-1
"{'c7n_delete_untagged_resource': 'Missing Product and Environment tags: terminate@2024/05/21', 'Name': 'blue-grafana'}",1.3,2024-05-20T14:01:22.688Z,2024-05-20,1716213682688,076395046979,OK,AWS::EC2::Instance,i-082700aad497a4786,us-east-1
{},1.3,2024-05-20T13:03:19.731Z,2024-05-20,1716210199731,076395046979,OK,AWS::Lambda::Function,map-276-exec-tf,us-east-1
{},1.3,2024-05-20T07:29:28.518Z,2024-05-20,1716190168518,076395046979,OK,AWS::S3::Bucket,map-276-tf-test-1,us-east-1
{'STAGE': 'unis-sandbox'},1.3,2024-05-20T06:09:09.230Z,2024-05-20,1716185349230,076395046979,OK,AWS::CloudFormation::Stack,arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-envprep-unis-sandbox/04a77900-166f-11ef-9846-1291a795f9c7,us-east-1
{},1.3,2024-05-20T03:41:50.003Z,2024-05-20,1716176510003,076395046979,OK,AWS::EC2::SecurityGroup,sg-0985e2b216561b8e5,us-east-1
"{'LastAttachTime': '2024-05-19T23:24:35+00:00', 'LastAttachInstance': 'i-082700aad497a4786', 'Name': 'blue-grafana'}",1.3,2024-05-20T00:19:24.113Z,2024-05-20,1716164364113,076395046979,OK,AWS::EC2::Volume,vol-0d641dbdbffa67b9a,us-east-1
{'STAGE': 'unis-sandbox'},1.3,2024-05-20T06:06:31.757Z,2024-05-20,1716185191757,076395046979,ResourceDiscovered,AWS::CloudFormation::Stack,arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-envprep-unis-sandbox/04a77900-166f-11ef-9846-1291a795f9c7,us-east-1
