identity_time_interval,bill_billing_period_end_date,bill_billing_period_start_date,identity_line_item_id,line_item_blended_cost,line_item_unblended_cost,line_item_operation,line_item_product_code,line_item_resource_id,line_item_usage_amount,line_item_usage_end_date,line_item_usage_start_date,resource_tags,line_item_usage_start_date_comparison
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,6g2uukbwklwdsypr6eqvfgf2kdgpdq4r43hducobyyorwywu6tja,8e-07,8e-07,ReadBucketPolicy,AmazonS3,doc-example-bucket-958f97ec-0025-428c-9d7c-eb07e6165eea,2.0,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,"{""aws_created_by"":""IAMUser:AIDARDSL75BB6XUYRRRE2:sdevare""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,qqwl5hu6xo6ntwjom6oixhz3kberb5cqypwy2ynv66ievymnpekq,3e-06,3e-06,ListGrants,awskms,arn:aws:kms:us-east-1:076395046979:key/f272f02f-2008-4756-9875-1e29e86c9920,1.0,2024-05-20T07:00:00.000Z,2024-05-20T06:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,pm6akc5to77ljaqf3u2arallvsgn2t7hskbkj6srkg2xofamaqoq,1.2e-05,1.2e-05,ListKeys,awskms,,4.0,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,tg5cb7bwzbxhew4f3e7kjqt23gvusmilluyrhc36u3e5zcgqseea,8e-07,8e-07,ReadBucketLifecycle,AmazonS3,twinonco-bucket-mbd12,2.0,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,"{""aws_created_by"":""IAMUser:AIDARDSL75BBX2JYLH7K6:mambikaprasad""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,qqbrrqbgcskyvudmnn3hki5z5f4vq6yrooybdzegxnn6t7o4vtea,0.014784946,0.014784946,CurrentKeys,awskms,arn:aws:kms:us-east-1:076395046979:key/42a8762d-709e-415d-a56b-a8322c7703e6,0.014784946,2024-05-20T11:00:00.000Z,2024-05-20T00:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,sbtcundnw7uuu4nfzkhztliks56wuxq5gup4rzkvurxgyjbmy4zq,0.0011333919,0.0005510159,LogDelivery,AmazonCloudWatch,arn:aws:ec2:us-east-1:076395046979:vpc-flow-log/fl-0c6ebab169fd7a238,0.0073468769,2024-05-20T10:00:00.000Z,2024-05-20T00:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,uvax7io5p7owigqhgbl5jlkn4t3opt5e3asrxmwtziiclguzp7ca,0.0026398536,0.0028,SC-API-Call,AWSServiceCatalog,,4.0,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,{},2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,be4w56pqql2rvr5xxk2fuklacwast3ifmnrk5t4mm6h6emepvgha,4e-09,4e-09,ReadLocation,AmazonS3,edgectms-gateway-envprep--serverlessdeploymentbuck-bpgw86lvpt0e,2.012e-07,2024-05-20T08:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BB3BYXL3A6J:ubeig@sdaws.imedidata.com""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,6ces32fj35h4tvmofx34e73w4r6dfin253v4igi6evehhygy7atq,5e-06,5e-06,WriteCostAllocation,AmazonS3,edgectms-gateway-envprep--serverlessdeploymentbuck-bpgw86lvpt0e,1.0,2024-05-20T07:00:00.000Z,2024-05-20T06:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BB3BYXL3A6J:ubeig@sdaws.imedidata.com""}",2024-05-20
2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,ci4saquhejd3tammt36zvebdgrm3no6k2eldfkdxsuije55mqydq,6e-06,6e-06,DescribeKey,awskms,arn:aws:kms:us-east-1:076395046979:key/af3dfef2-8dd3-420b-8c3e-2c3d4b8b34b5,2.0,2024-05-20T08:00:00.000Z,2024-05-20T01:00:00.000Z,"{""user_product"":""Conmannotifications"",""user_cost_center"":""Site Management"",""user_company"":""mdsol"",""user_environment"":""blue"",""user_owner"":""Prakash Kumar"",""user_tenant"":""blue"",""user_name"":""ctms-flow-key""}",2024-05-20
