tags,configurationItemVersion,configurationItemCaptureTime,configurationItemCaptureDate,configurationStateId,awsAccountId,configurationItemStatus,resourceType,resourceId,awsRegion,identity_time_interval,bill_billing_period_end_date,bill_billing_period_start_date,identity_line_item_id,line_item_blended_cost,line_item_unblended_cost,line_item_operation,line_item_product_code,line_item_resource_id,line_item_usage_amount,line_item_usage_end_date,line_item_usage_start_date,resource_tags
{},1.3,2024-05-20T18:32:21.344Z,2024-05-20,1716229941344,076395046979,OK,AWS::S3::Bucket,aws-costs-gov,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-20T18:04:17.714Z,2024-05-20,1716228257714,076395046979,OK,AWS::S3::Bucket,mmi-transfer-test-sai-manaswini,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-20T17:59:53.994Z,2024-05-20,1716227993994,076395046979,OK,AWS::S3::Bucket,mmi-desti-sai,us-east-1,,,,,,,,,,,,,
"{'Environment': 'sandbox', 'Name': 'vpc-aspera-sandbox'}",1.3,2024-05-20T15:41:50.182Z,2024-05-20,1716219710182,076395046979,OK,AWS::EC2::VPC,vpc-0175d51e695c62cfd,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-20T15:41:50.010Z,2024-05-20,1716219710010,076395046979,OK,AWS::EC2::SecurityGroup,sg-093ce1b7d20e60c5b,us-east-1,,,,,,,,,,,,,
"{'app': 'map-276-rps', 'Environment': 'sandbox', 'Name': 'vpc-aspera-sandbox_public-2-b'}",1.3,2024-05-20T15:41:49.282Z,2024-05-20,1716219709282,076395046979,OK,AWS::EC2::Subnet,subnet-071078ff88d35e5de,us-east-1,,,,,,,,,,,,,
"{'LastAttachTime': '2024-05-20T14:01:34+00:00', 'LastAttachInstance': 'i-0fb1f509f61179fff', 'Name': 'grafana'}",1.3,2024-05-20T14:18:47.325Z,2024-05-20,1716214727325,076395046979,OK,AWS::EC2::Volume,vol-0eb2de481997187b8,us-east-1,,,,,,,,,,,,,
"{'c7n_delete_untagged_resource': 'Missing Product and Environment tags: terminate@2024/05/21', 'Name': 'blue-grafana'}",1.3,2024-05-20T14:01:22.688Z,2024-05-20,1716213682688,076395046979,OK,AWS::EC2::Instance,i-082700aad497a4786,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,43rnoigzlouwlzoyba5qguggp5udwwwcbjrjtkjedtsa7jxaxvbq,0.1276,0.1276,RunInstances,AmazonEC2,i-082700aad497a4786,11.0,2024-05-20T11:00:00.000Z,2024-05-20T00:00:00.000Z,"{""aws_created_by"":""IAMUser:AIDARDSL75BBTB2MHRTUR:mshaik"",""user_name"":""blue-grafana""}"
{},1.3,2024-05-20T13:03:19.731Z,2024-05-20,1716210199731,076395046979,OK,AWS::Lambda::Function,map-276-exec-tf,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-20T07:29:28.518Z,2024-05-20,1716190168518,076395046979,OK,AWS::S3::Bucket,map-276-tf-test-1,us-east-1,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,q4tqlptnhuyv3l4dytmn2bccmdwnzhxuyxpicvv2rqxhcv2g5ywa,4e-07,4e-07,ReadBucketServerSideEncryption,AmazonS3,map-276-tf-test-1,1.0,2024-05-20T08:00:00.000Z,2024-05-20T07:00:00.000Z,"{""aws_created_by"":""AssumedRole:AROARDSL75BBSVRBDIDZV:map-276-exec-tf""}"
