tags,configurationItemVersion,configurationItemCaptureTime,configurationItemCaptureDate,configurationStateId,awsAccountId,configurationItemStatus,resourceType,resourceId,awsRegion,identity_time_interval,bill_billing_period_end_date,bill_billing_period_start_date,identity_line_item_id,line_item_blended_cost,line_item_unblended_cost,line_item_operation,line_item_product_code,line_item_resource_id,line_item_usage_amount,line_item_usage_end_date,line_item_usage_start_date,resource_tags
"{'aws:cloudformation:stack-name': 'edgectms-gateway-setup-ahmed', 'Company': 'mdsol', 'Owner': 'team-110', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-setup-ahmed/50acf300-1757-11ef-b0ce-0e4d9d68823d', 'STAGE': 'ahmed', 'aws:cloudformation:logical-id': 'ServerlessDeploymentBucket'}",1.3,2024-05-21T10:42:17.959Z,2024-05-21,1716288137959,076395046979,OK,AWS::S3::Bucket,edgectms-gateway-setup-ah-serverlessdeploymentbuck-fvrybqqnnrch,us-east-1,,,,,,,,,,,,,
"{'Owner': 'team-110', 'Company': 'mdsol', 'STAGE': 'ahmed'}",1.3,2024-05-21T10:40:14.636Z,2024-05-21,1716288014636,076395046979,OK,AWS::CloudFormation::Stack,arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-setup-ahmed/50acf300-1757-11ef-b0ce-0e4d9d68823d,us-east-1,,,,,,,,,,,,,
"{'Company': 'mdsol', 'Owner': 'team-110'}",1.3,2024-05-21T10:26:00.585Z,2024-05-21,1716287160585,076395046979,OK,AWS::ApiGateway::Stage,arn:aws:apigateway:us-east-1::/restapis/9vhgtb9ubd/stages/ahmed,us-east-1,,,,,,,,,,,,,
{'STAGE': 'ahmed'},1.3,2024-05-21T09:40:13.101Z,2024-05-21,1716284413101,076395046979,OK,AWS::CloudFormation::Stack,arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-envprep-ahmed/bd01de50-1755-11ef-974c-1220932d851d,us-east-1,,,,,,,,,,,,,
{'STAGE': 'latha'},1.3,2024-05-21T09:30:57.851Z,2024-05-21,1716283857851,076395046979,OK,AWS::CloudFormation::Stack,arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-envprep-latha/71c8a000-1754-11ef-83fb-0affd5603a8d,us-east-1,,,,,,,,,,,,,
"{'aws:cloudformation:stack-name': 'edgectms-gateway-setup-ahmed', 'Company': 'mdsol', 'Owner': 'team-110', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-setup-ahmed/50acf300-1757-11ef-b0ce-0e4d9d68823d', 'STAGE': 'ahmed', 'aws:cloudformation:logical-id': 'ApiGatewayRestApi'}",1.3,2024-05-21T09:49:52.096Z,2024-05-21,1716284992096,076395046979,ResourceDiscovered,AWS::ApiGateway::RestApi,arn:aws:apigateway:us-east-1::/restapis/9vhgtb9ubd,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-21T10:27:35.699Z,2024-05-21,1716287255699,076395046979,ResourceDeleted,AWS::ApiGateway::RestApi,arn:aws:apigateway:us-east-1::/restapis/9vhgtb9ubd,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-21T10:36:02.554Z,2024-05-21,1716287762554,076395046979,ResourceDeleted,AWS::ApiGateway::RestApi,arn:aws:apigateway:us-east-1::/restapis/c7amxyycm8,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-21T09:50:19.427Z,2024-05-21,1716285019427,076395046979,ResourceDiscovered,AWS::ApiGateway::Stage,arn:aws:apigateway:us-east-1::/restapis/9vhgtb9ubd/stages/ahmed,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-21T10:26:45.518Z,2024-05-21,1716287205518,076395046979,ResourceDeleted,AWS::ApiGateway::Stage,arn:aws:apigateway:us-east-1::/restapis/9vhgtb9ubd/stages/ahmed,us-east-1,,,,,,,,,,,,,
{'STAGE': 'ahmed'},1.3,2024-05-21T09:38:04.105Z,2024-05-21,1716284284105,076395046979,ResourceDiscovered,AWS::CloudFormation::Stack,arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-envprep-ahmed/bd01de50-1755-11ef-974c-1220932d851d,us-east-1,,,,,,,,,,,,,
{'STAGE': 'latha'},1.3,2024-05-21T09:28:48.468Z,2024-05-21,1716283728468,076395046979,ResourceDiscovered,AWS::CloudFormation::Stack,arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-envprep-latha/71c8a000-1754-11ef-83fb-0affd5603a8d,us-east-1,,,,,,,,,,,,,
"{'Owner': 'team-110', 'Company': 'mdsol', 'STAGE': 'ahmed'}",1.3,2024-05-21T09:49:21.611Z,2024-05-21,1716284961611,076395046979,ResourceDiscovered,AWS::CloudFormation::Stack,arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-setup-ahmed/50acf300-1757-11ef-b0ce-0e4d9d68823d,us-east-1,,,,,,,,,,,,,
{'STAGE': 'ahmed'},1.3,2024-05-21T09:41:03.197Z,2024-05-21,1716284463197,076395046979,ResourceDiscovered,AWS::DynamoDB::Table,EdgeCTMSCustomers-ahmed,us-east-1,,,,,,,,,,,,,
{'STAGE': 'latha'},1.3,2024-05-21T09:31:33.135Z,2024-05-21,1716283893135,076395046979,ResourceDiscovered,AWS::DynamoDB::Table,EdgeCTMSCustomers-latha,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-21T09:41:56.084Z,2024-05-21,1716284516084,076395046979,ResourceDeleted,AWS::EC2::FlowLog,fl-09f8195ebdcb225ad,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-21T09:41:56.084Z,2024-05-21,1716284516084,076395046979,ResourceDeleted,AWS::EC2::FlowLog,fl-0b33713a1bac2dd92,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-21T09:40:32.182Z,2024-05-21,1716284432182,076395046979,ResourceDiscovered,AWS::KMS::Alias,alias/edgectmsapigateway_ahmed,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-21T09:31:51.502Z,2024-05-21,1716283911502,076395046979,ResourceDiscovered,AWS::KMS::Alias,alias/edgectmsapigateway_latha,us-east-1,,,,,,,,,,,,,
{'STAGE': 'latha'},1.3,2024-05-21T09:29:41.582Z,2024-05-21,1716283781582,076395046979,ResourceDiscovered,AWS::KMS::Key,4e4c6102-4b47-4a6a-aa62-798bf7f1a8e5,us-east-1,,,,,,,,,,,,,
