bill_bill_type,bill_billing_entity,bill_billing_period_end_date,bill_billing_period_start_date,bill_invoice_id,bill_invoicing_entity,bill_payer_account_id,bill_payer_account_name,cost_category,discount,discount_bundled_discount,discount_total_discount,identity_line_item_id,identity_time_interval,line_item_availability_zone,line_item_blended_cost,line_item_blended_rate,line_item_currency_code,line_item_legal_entity,line_item_line_item_description,line_item_line_item_type,line_item_net_unblended_cost,line_item_net_unblended_rate,line_item_normalization_factor,line_item_normalized_usage_amount,line_item_operation,line_item_product_code,line_item_resource_id,line_item_tax_type,line_item_unblended_cost,line_item_unblended_rate,line_item_usage_account_id,line_item_usage_account_name,line_item_usage_amount,line_item_usage_end_date,line_item_usage_start_date,line_item_usage_type,pricing_currency,pricing_lease_contract_length,pricing_offering_class,pricing_public_on_demand_cost,pricing_public_on_demand_rate,pricing_purchase_option,pricing_rate_code,pricing_rate_id,pricing_term,pricing_unit,product,product_comment,product_fee_code,product_fee_description,product_from_location,product_from_location_type,product_from_region_code,product_instance_family,product_instance_type,product_instancesku,product_location,product_location_type,product_operation,product_pricing_unit,product_product_family,product_region_code,product_servicecode,product_sku,product_to_location,product_to_location_type,product_to_region_code,product_usagetype,reservation_amortized_upfront_cost_for_usage,reservation_amortized_upfront_fee_for_billing_period,reservation_availability_zone,reservation_effective_cost,reservation_end_time,reservation_modification_status,reservation_net_amortized_upfront_cost_for_usage,reservation_net_amortized_upfront_fee_for_billing_period,reservation_net_effective_cost,reservation_net_recurring_fee_for_usage,reservation_net_unused_amortized_upfront_fee_for_billing_period,reservation_net_unused_recurring_fee,reservation_net_upfront_value,reservation_normalized_units_per_reservation,reservation_number_of_reservations,reservation_recurring_fee_for_usage,reservation_reservation_a_r_n,reservation_start_time,reservation_subscription_id,reservation_total_reserved_normalized_units,reservation_total_reserved_units,reservation_units_per_reservation,reservation_unused_amortized_upfront_fee_for_billing_period,reservation_unused_normalized_unit_quantity,reservation_unused_quantity,reservation_unused_recurring_fee,reservation_upfront_value,resource_tags,savings_plan_amortized_upfront_commitment_for_billing_period,savings_plan_end_time,savings_plan_instance_type_family,savings_plan_net_amortized_upfront_commitment_for_billing_period,savings_plan_net_recurring_commitment_for_billing_period,savings_plan_net_savings_plan_effective_cost,savings_plan_offering_type,savings_plan_payment_option,savings_plan_purchase_term,savings_plan_recurring_commitment_for_billing_period,savings_plan_region,savings_plan_savings_plan_a_r_n,savings_plan_savings_plan_effective_cost,savings_plan_savings_plan_rate,savings_plan_start_time,savings_plan_total_commitment_to_date,savings_plan_used_commitment
Anniversary,AWS,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,016266444216,sajeeth pasha,{},{},,,fmnqdrhojcdnn4lpllyb4jwud2qmyh7hljgsapalhh7mq7umusma,2024-05-01T00:00:00Z/2024-05-02T00:00:00Z,,0.05,,USD,"",Tax for product code AWSConfig,Tax,,,0.0,0.0,,AWSConfig,,India GST,0.05,,016266444216,sajeeth pasha,1.0,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,,,0.0,,,,,,,"{""product_name"":""AWS Config""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,016266444216,sajeeth pasha,{},{},,,mknpxghufa5wiepeslq2roddq5py2e2do5axkt7y6lfp6b7rijfa,2024-05-01T00:00:00Z/2024-05-02T00:00:00Z,,0.0,,USD,"",Tax for product code AWSDataTransfer,Tax,,,0.0,0.0,,AWSDataTransfer,,India GST,0.0,,016266444216,sajeeth pasha,1.0,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,,,0.0,,,,,,,"{""product_name"":""AWS Data Transfer""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,016266444216,sajeeth pasha,{},{},,,jrj6z4apxwyuyktoa3anp2o5iqrnkjfh67majx6rkecx2v5ngpiq,2024-05-01T00:00:00Z/2024-05-02T00:00:00Z,,0.0,,USD,"",Tax for product code AWSGlue,Tax,,,0.0,0.0,,AWSGlue,,India GST,0.0,,016266444216,sajeeth pasha,1.0,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,,,0.0,,,,,,,"{""product_name"":""AWS Glue""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,016266444216,sajeeth pasha,{},{},,,fyylbn6qagxmekrmuflzgeoidv2zv2halxj56lnzllhliwqcyefa,2024-05-01T00:00:00Z/2024-05-02T00:00:00Z,,0.0,,USD,"",Tax for product code awskms,Tax,,,0.0,0.0,,awskms,,India GST,0.0,,016266444216,sajeeth pasha,1.0,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,,,0.0,,,,,,,"{""product_name"":""AWS Key Management Service""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,016266444216,sajeeth pasha,{},{},,,tx2w5qw2zfseqqr5fafxctyibvgbo7sjs5bdtpadkgua7lyw6l2a,2024-05-01T00:00:00Z/2024-05-02T00:00:00Z,,0.0,,USD,"",Tax for product code AWSLambda,Tax,,,0.0,0.0,,AWSLambda,,India GST,0.0,,016266444216,sajeeth pasha,1.0,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,,,0.0,,,,,,,"{""product_name"":""AWS Lambda""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,016266444216,sajeeth pasha,{},{},,,r6ipgn26fyoflyi6ukg35dcbumu6riy57qizava2elk4kq52f4yq,2024-05-01T00:00:00Z/2024-05-02T00:00:00Z,,0.0,,USD,"",Tax for product code AWSMigrationHubRefactorSpaces,Tax,,,0.0,0.0,,AWSMigrationHubRefactorSpaces,,India GST,0.0,,016266444216,sajeeth pasha,1.0,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,,,0.0,,,,,,,"{""product_name"":""AWS Migration Hub Refactor Spaces""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,016266444216,sajeeth pasha,{},{},,,abf55khv4b3xhhtqjlstidoevmfdmnwpt4ffraaahnefuo3r6hia,2024-05-01T00:00:00Z/2024-05-02T00:00:00Z,,0.0,,USD,"",Tax for product code AWSSecretsManager,Tax,,,0.0,0.0,,AWSSecretsManager,,India GST,0.0,,016266444216,sajeeth pasha,1.0,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,,,0.0,,,,,,,"{""product_name"":""AWS Secrets Manager""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,016266444216,sajeeth pasha,{},{},,,ilgwnb6md3pvtshhhyqc5t6ig5glajbxivos37b6hxyy24sngcaq,2024-05-01T00:00:00Z/2024-05-02T00:00:00Z,,0.0,,USD,"",Tax for product code AmazonLocationService,Tax,,,0.0,0.0,,AmazonLocationService,,India GST,0.0,,016266444216,sajeeth pasha,1.0,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,,,0.0,,,,,,,"{""product_name"":""Amazon Location Service""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,016266444216,sajeeth pasha,{},{},,,in5ejhfxk2nxmbvvsc4ucd5rqtwfqmeyykxargdr2b3dzjgfgsbq,2024-05-01T00:00:00Z/2024-05-02T00:00:00Z,,0.0,,USD,"",Tax for product code AmazonSNS,Tax,,,0.0,0.0,,AmazonSNS,,India GST,0.0,,016266444216,sajeeth pasha,1.0,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,,,0.0,,,,,,,"{""product_name"":""Amazon Simple Notification Service""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,016266444216,sajeeth pasha,{},{},,,dt427xc63nsxhpcxxbyzr63fcedfttb7tydjg7lfj2qsozp73mla,2024-05-01T00:00:00Z/2024-05-02T00:00:00Z,,0.0,,USD,"",Tax for product code AWSQueueService,Tax,,,0.0,0.0,,AWSQueueService,,India GST,0.0,,016266444216,sajeeth pasha,1.0,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,,,0.0,,,,,,,"{""product_name"":""Amazon Simple Queue Service""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
